,YM,Mkt_RF,SMB,HML,RMW,CMA,RF
0,196307,-0.39,-0.46,-0.82,0.72,-1.15,0.0027
1,196308,5.07,-0.85,1.63,0.42,-0.33,0.0025
2,196309,-1.57,-0.5,0.19,-0.8,0.27,0.0027
3,196310,2.53,-1.3,-0.11,2.75,-2.24,0.0029
4,196311,-0.85,-0.83,1.66,-0.34,2.22,0.0027
5,196312,1.83,-1.87,-0.11,0.18,-0.3,0.0029
6,196401,2.24,0.12,1.64,0.21,1.46,0.003
7,196402,1.54,0.3,2.83,0.04,0.86,0.0026
8,196403,1.41,1.43,3.36,-2.01,2.93,0.0031
9,196404,0.1,-1.52,-0.42,-1.39,-1.08,0.0029
10,196405,1.42,-0.69,1.88,-0.28,0.28,0.0026
11,196406,1.27,0.05,0.72,-0.36,0.17,0.003
12,196407,1.74,0.47,0.7,0.02,1.91,0.003
13,196408,-1.44,0.3,0.12,-0.09,0.35,0.0028000000000000004
14,196409,2.69,-0.31,1.65,-0.36,0.59,0.0028000000000000004
15,196410,0.59,0.91,1.14,-0.18,0.45,0.0029
16,196411,0.0,-0.28,-1.96,0.62,-0.17,0.0029
17,196412,0.03,-0.56,-2.58,1.27,-1.64,0.0031
18,196501,3.54,2.48,0.2,0.75,0.15,0.0028000000000000004
19,196502,0.44,3.3,0.19,0.26,-0.67,0.003
20,196503,-1.34,2.02,1.07,-0.33,0.75,0.0036
21,196504,3.11,1.19,0.7,0.34,-2.3,0.0031
22,196505,-0.77,0.04,-1.61,-0.47,0.73,0.0031
23,196506,-5.51,-4.31,0.58,0.13,0.44,0.0034999999999999996
24,196507,1.43,1.04,2.22,-1.45,0.0,0.0031
25,196508,2.73,2.74,-1.07,1.87,-0.72,0.0033
26,196509,2.86,0.6,-0.11,-1.08,0.84,0.0031
27,196510,2.6,3.41,1.6,1.23,-0.73,0.0031
28,196511,-0.03,5.22,0.23,-1.07,-0.89,0.0034999999999999996
29,196512,1.01,2.68,2.08,-1.04,-0.5,0.0033
30,196601,0.72,4.67,3.57,-3.03,-0.06,0.0038
31,196602,-1.21,4.79,0.36,0.11,-1.45,0.0034999999999999996
32,196603,-2.51,0.24,-2.05,1.26,-0.04,0.0038
33,196604,2.14,3.37,-0.45,0.42,-0.92,0.0034000000000000002
34,196605,-5.66,-5.15,-1.65,1.74,-1.5,0.0040999999999999995
35,196606,-1.44,1.38,0.49,-0.05,0.77,0.0038
36,196607,-1.63,-0.35,0.82,-0.54,1.64,0.0034999999999999996
37,196608,-7.91,-3.06,0.56,0.2,0.87,0.0040999999999999995
38,196609,-1.06,-1.12,0.5,-1.23,2.45,0.004
